cline,passage,group,plate,DO528nm,exclude
QNS166,NA,CTRL,13.5,3266,
QNS166,NA,CTRL,13.6,3809,
QNS166,NA,CTRL,13.7,4197,
QNS166,NA,CTRL,13.8,4181,
QNS166,NA,BMP4,13.1,1525,
QNS166,NA,BMP4,13.2,1989,
QNS166,NA,BMP4,13.3,2286,
QNS166,NA,BMP4,13.4,2671,
QNS166,NA,BMP4,13.5,2413,
QNS166,NA,BMP4,13.6,2963,
QNS166,NA,BMP4,13.7,3218,
QNS166,NA,BMP4,13.8,3267,
QNS315,NA,CTRL,13.1,899,
QNS315,NA,CTRL,13.2,1008,
QNS315,NA,CTRL,13.3,1060,
QNS315,NA,CTRL,13.4,1335,
QNS315,NA,CTRL,13.5,1300,
QNS315,NA,CTRL,13.6,1798,
QNS315,NA,CTRL,13.7,1855,
QNS315,NA,CTRL,13.8,2220,
QNS315,NA,BMP4,13.1,1280,
QNS315,NA,BMP4,13.2,1634,
QNS315,NA,BMP4,13.3,1979,
QNS315,NA,BMP4,13.4,2155,
QNS315,NA,BMP4,13.5,2354,
QNS315,NA,BMP4,13.6,2587,
QNS315,NA,BMP4,13.7,2647,
QNS315,NA,BMP4,13.8,2767,
